"","hi","n"
"1","4-10-69",4
"2","4-10-84",7
"3","4-10-90",5
"4","4-10-92",3
"5","4-10-101",4
"6","2-11-55",5
"7","2-11-60",4
"8","2-11-65",2
"9","2-11-72",4
"10","2-11-78",8
"11","2-11-124",4
"12","1-12-31",6
"13","1-12-54",5
"14","1-12-56",4
"15","1-12-68",3
"16","1-12-116",5
"17","2-13-36",11
"18","2-13-39",6
"19","2-13-50",1
"20","2-13-87",7
"21","2-13-91",11
"22","2-13-94",8
"23","2-13-103",4
"24","3-14-25",5
"25","3-14-45",7
"26","3-14-79",4
"27","3-15-27",7
"28","3-15-28",10
"29","3-15-38",6
"30","3-15-75",3
"31","1-16-41",8
"32","1-16-51",6
"33","1-16-76",6
"34","1-16-98",4
"35","4-17-105",4
"36","1-18-67",4
"37","1-18-89",4
"38","1-18-109",3
"39","2-19-29",4
"40","2-19-88",5
"41","2-19-99",4
"42","2-19-115",3
"43","4-20-43",3
"44","4-20-53",5
"45","4-20-81",4
"46","4-20-97",5
"47","4-20-100",3
"48","4-20-106",7
"49","4-20-114",6
"50","4-20-118",6
"51","3-21-48",2
"52","3-21-113",2
"53","3-21-117",8
"54","3-21-122",5
"55","2-22-26",4
"56","2-22-34",7
"57","2-22-77",7
"58","2-22-123",5
"59","2-23-47",6
"60","2-23-57",4
"61","2-23-74",5
"62","2-23-86",5
"63","2-23-102",5
"64","2-23-104",2
"65","2-23-111",5
"66","2-23-119",9
"67","2-23-121",4
"68","3-24-44",4
"69","3-24-58",8
"70","3-24-62",3
"71","3-24-66",7
"72","3-24-83",7
"73","3-24-93",6
"74","2-5-40",4
"75","2-5-46",9
"76","2-5-59",4
"77","2-5-71",4
"78","2-5-107",4
"79","2-6-32",6
"80","2-6-42",3
"81","2-6-63",9
"82","2-6-70",4
"83","2-6-82",4
"84","1-7-61",3
"85","1-7-64",6
"86","1-7-112",5
"87","1-7-120",3
"88","4-8-33",2
"89","4-8-35",2
"90","4-8-95",2
"91","4-8-96",8
"92","4-8-108",3
"93","4-8-110",3
"94","3-9-30",3
"95","3-9-37",10
"96","3-9-49",4
"97","3-9-52",5
"98","3-9-73",4
"99","3-9-80",5
"100","3-9-85",4
