"","hi","n"
"1","the organization of state and war-foreign relations-newspapers and publications",4
"2","the organization of state and war-foreign relations-boroughs and voters",7
"3","the organization of state and war-foreign relations-taxation and national income",5
"4","the organization of state and war-foreign relations-subjects pertaining to the royal household",3
"5","the organization of state and war-foreign relations-chancellor",4
"6","the formalities of presenting in parliament-local democratic institutions-advances of money for particular purposes",5
"7","the formalities of presenting in parliament-local democratic institutions-reference to another speaker",4
"8","the formalities of presenting in parliament-local democratic institutions-harbours and fisheries",2
"9","the formalities of presenting in parliament-local democratic institutions-dissenting protestants",4
"10","the formalities of presenting in parliament-local democratic institutions-bankruptcy and debt",8
"11","the formalities of presenting in parliament-local democratic institutions-involvement in war",4
"12","extra parliamentary-addressing nation people other speakers or the parties-land buying selling and eviction",6
"13","extra parliamentary-addressing nation people other speakers or the parties-addressing the opposition",5
"14","extra parliamentary-addressing nation people other speakers or the parties-the established church",4
"15","extra parliamentary-addressing nation people other speakers or the parties-shareholders and their rights and obligations",3
"16","extra parliamentary-addressing nation people other speakers or the parties-licensing drinking establishments",5
"17","the formalities of presenting in parliament-landlords tenants and property questions-objections to a new bill",11
"18","the formalities of presenting in parliament-landlords tenants and property questions-eulogizing the importance of government time",6
"19","the formalities of presenting in parliament-landlords tenants and property questions-correspondence with foreign governments",1
"20","the formalities of presenting in parliament-landlords tenants and property questions-reports of evidence persons interviewed by committees",7
"21","the formalities of presenting in parliament-landlords tenants and property questions-coercion acts to suppress dissent in the colonies",11
"22","the formalities of presenting in parliament-landlords tenants and property questions-small farmers and tenant farmers",8
"23","the formalities of presenting in parliament-landlords tenants and property questions-presenting official documents to parliament",4
"24","revenue and expenditure-taxes and parliament's revenue-employment esp hours factories and child employment",5
"25","revenue and expenditure-taxes and parliament's revenue-interrogating the order of speakers",7
"26","revenue and expenditure-taxes and parliament's revenue-non jurors and loyalty to the crown",4
"27","revenue and expenditure-schools and universities-the governance of colonies",7
"28","revenue and expenditure-schools and universities-bribery and corruption",10
"29","revenue and expenditure-schools and universities-official inquiry into cases and facts",6
"30","revenue and expenditure-schools and universities-juries petty sessions and county courts",3
"31","extra parliamentary-railways other companies and government-the privilege of voting in the houses of parliament",8
"32","extra parliamentary-railways other companies and government-bills orders committees and instructions",6
"33","extra parliamentary-railways other companies and government-secretaries of colonies and other departments",6
"34","extra parliamentary-railways other companies and government-questions for the exchequer",4
"35","the organization of state and war-army-labor conditions esp with regards to accidents and mines",4
"36","extra parliamentary-eulogizing the nation and proposing principles-prison",4
"37","extra parliamentary-eulogizing the nation and proposing principles-rehearsing the principles governing parliament",4
